Category,ProcessedText,SpeakerDialect
درامي,عايز تفكر معايا,Egyptian
كوميدي,انا اسفه على هذا الشيء وعلى هذا الخبر لكن خلينا كلنا مع بعض الحين نسال المسؤولين اللي وراي ليه ليش شلتوا الحديقة وخليتوا مكانها عمارة احنا من حقنا نسال ونستفسر هاهاها لو سمحت لو سمحت انت المسؤول هنا سمحت بسالك انت المسؤول,Hijazi
درامي,ما حط فيني يا المرض الذي انتي وعيالك,Najdi
كوميدي,مع السلامة يا سي مرسي مع السلامة يا حبيبي,Egyptian
اطفال,لا بس اللي واضح من اسمهم انهم ناس اشرار ما حد يقدر يعاديهم علشان كده يا رشيد اسلم حاجة ان احنا نفضل زي ما احنا ولا كانه احنا عرفنا اي حاجة على الموضوع هذا فاهم ولا لا,Hijazi
درامي,بس يا ابو مسامح,Najdi
كوميدي,سيارتي القديمة,Hijazi
كوميدي,هذا ولد عمنا جاي من الديرة,Najdi
اطفال,وبكره,Hijazi
اطفال,الحقيقة يا كبيرة الجزيرة احنا كلنا هنا عايشين تحت ظلك وبخيرك وما احنا محتاجين اي شيء وان,Hijazi
اطفال,عشان لازم الناس اللي برا يعرفوا كل المعلومات هذه علشان يقدروا يوصلوا لمكان شديد,Hijazi
كوميدي,اقول اسمع,Najdi
كوميدي,ايوا يا سلطانة اي انتي من وين تتكلمين,Najdi
كوميدي,مشي انا ازين اسلم عليك,Najdi
كوميدي,تستهبل,Khaliji
اطفال,انا فطين العبقري فطين,Khaliji
كوميدي,وهذه حاجتين في قلبي تقرقعها وهذه الدفعة تحت الحساب والباقي في البيت بالعجرة اي ان شاء الله هذي بتروح,Khaliji
اطفال,اجيء,Hijazi
كوميدي,الوسواس الخناس يوسوس لابن ادم في كل شيء,Najdi
كوميدي,لا يا استاذ ما تخافش ما تخافش حنبدا بقوة ان شاء الله هجوم على طول يا استاذ الدفاع والوسط كله هجوم يا استاذ تصدق انا عامل لك جدول ميخرش المية يا استاذ,Egyptian
كوميدي,شو موضوعك بالظبط,Najdi
كوميدي,والله اي دولة انا ما ادري الى الان لسه ما بعد بينت معنا خطوط المؤامرة الغبيئة لكن انا متاكد متاكد ان هذه المؤامرة يا اخوان تستهدف هذا الجيل الواعد العبقري,Najdi
درامي,بس شوف تقدر تدق علي باي وقت وحتى لو رد عليك رجال عادي اطلبني قله ابي سارة,Khaliji
اطفال,امم طيب المشاريع اللي راحت كلها فشلت وخسرنا فيها,Hijazi
كوميدي,ما ادري بصراحة,Khaliji
درامي,صدقت,Najdi
درامي,ايه يا وليدي خالك جه علشان يساعدنا حتى نخلصك من السجن,Najdi
اطفال,لا لا مو كذا يا بويا نحنا نحنا لو نبغى نسافر اليوم نقدر نسافر,Hijazi
درامي,خلاص خلاص,Khaliji
درامي,ايه ما يقدر عليش الا نوف بلا دلع يلا,Khaliji
درامي,هذا هذا معنى كلامي,Najdi
كوميدي,شيخ مبارك مفسر احلام,Najdi
اطفال,للاسف لا,Khaliji
درامي,حا خله طقق اللي يطقه خله يطق في راسه عمود للبيت,Khaliji
كوميدي,وش قلتي اسمه,Najdi
كوميدي,والله قبل,Najdi
كوميدي,تراني اعلم ابوك ايه طمن طني خلي اسمع,Najdi
اطفال,يشوف بدل الدليل الف دليل وراح يقول انه هروب الدليل بعد ما جابنا هنا ما هو مسؤوليته ويطلع قدام فطين ومستطيب ونبيه الفاعل الخير وانت اللي تفتري عليه,Hijazi
درامي,سارة من فضلك ممكن تنزل الصاله ابي اغير جو شوي جيبت الصورة,Najdi
كوميدي,عيب عليك تقول هذا الكلام,Hijazi
كوميدي,الا ما حد يبشره ويقولها غيري,Khaliji
كوميدي,هات التلفون سم اتصل خلهم يرجعونها,Najdi
درامي,يا عيال وينكم,Hijazi
كوميدي,الا العصر ايش هم بعد غيرواضح ونصف انا صار لي اسبوع وجهز له,Najdi
درامي,بس انا شوي نفسيتي تعبانة من الشغل,Khaliji
درامي,اكيد هي روح افتح خير يا عمتي,Khaliji
كوميدي,الخزان وانتي,Najdi
درامي,وسالت فايزة قالت كل خالد ما كلم الرجال الرجال بيعتذر وانت عارف يا وليدي ظروفي المالية صعبة وماني قادر ولمدة ما تكفي,Najdi
درامي,ايه الشحططة الي بقينا فيها دي,Egyptian
درامي,هاخد بس عينة الدم واول ما حاله تستقر هنعمل عملية على طول,Egyptian
درامي,علشان ميزر ولد اختي الحبيب الغالي,Khaliji
اطفال,لا لا ما يصير انو احد ياخد حاجة ما هي حقته وكمان ما يصير انو يفرط في حاجة هي حقته,Hijazi
درامي,علشان كده تشوفيني مستعجل,Najdi
كوميدي,انتو احساسكم حلو,Egyptian
اطفال,انا بدي افهم يعني ليش المفروض ان انا اروح معاهم,Najdi
كوميدي,اقول عتيج,Khaliji
درامي,اي كلافه يا عمي بالعكس بالعكس لا في لا تعب ولا كلافه هذا واجب اني ازورك,Hijazi
كوميدي,اول حكم شق الجبهة,Khaliji
درامي,تفضلي,Egyptian
اطفال,ماي بطل,Najdi
اطفال,يا رب يا رب الطف بيها يا رب يا رب يا رحمن يارحيم على البخت اللي راح نوحي يا حتى ظهرك حتى ظهرك يا اختي صرحوا,Egyptian
كوميدي,والله اليوم في الاجتماع راح يبين شو من اللحية,Khaliji
كوميدي,وين روحت عمي وين رحت انا انا قاعد لحسن يحكني وينتشر والله لكسر ضهرك ويشرك,Najdi
كوميدي,متعرفوش الواد تاخذوا الحاجة منه ليه وبعدين شفتوا الحاجة لكن انتوا مش بتاعتكم سبوها وامشوا ترموها في الميه ليه,Egyptian
كوميدي,لا فقدت مجالس الاباء هيبتها وقيمتها وبعدين,Najdi
اطفال,يا رب مين اللي يطلع بابا فرحان براءة مين,Hijazi
اطفال,تعشي ضيوفك,Najdi
كوميدي,ي لا عاد تريقين لا عاد تريقين كلها شهرين واتدرب ان شاء الله اصير زيهم ايش تبغين,Najdi
اطفال,انتي تقولي انه السيدة حكاية كدابة يا سيدة حكاية شهرزاد بتقول عنك,Hijazi
درامي,كيفك يا اسماء يا بنيتي,Khaliji
كوميدي,بابا بابا,Hijazi
اطفال,صدقني مع اول قصة نقولها كل اللي هنا راح يعرفو غيرواضح الحقيقي ورح يستقيلوا لانهم ما راح يقدروا يجارونا,Hijazi
كوميدي,ابو حسين,Egyptian
كوميدي,ايه اللي يسمعك يقول انا ماكلين من الصبح ما احنا بالداخل من الصبح على اخوكي ندور عليه,Najdi
كوميدي,خسرانة,Najdi
كوميدي,وجا المدرس الثالث وحطلي وحدة هنا,Hijazi
كوميدي,طلع الاسد قطع الرجل,Egyptian
درامي,تتدلع يا راجل هاهاها الحمد لله صحتك كويسة الحمد لله,Hijazi
درامي,وتعتقد احمد رح يوافقك بسرعة,Hijazi
كوميدي,بالفكر يا كمنجه وعلى سيرت كمنجه يعني اول شيء لازم نسويه نغير اسماءكم يعني انت يا كمنجة حيكون اسمك من اليوم المورد الكبير,Khaliji
كوميدي,ها بشري بشري,Khaliji
كوميدي,واحنا طبعا لا يمكن نتحمل احد يشكك في قراراتنا,Khaliji
اطفال,اسكت يا بابا فرحان جدو فرحان قال راح يتهور راح يفتش الضيوف فكرنا انه الكتاب اتسرق,Khaliji
اطفال,او يمكن هيحتفظ بذكرى من السمكة,Hijazi
كوميدي,هاهاها الو نعم,Najdi
درامي,اموت جائع,Khaliji
اطفال,ا توفر المعلومات ومستبد,Hijazi
درامي,على خلاص ماني قادر افكر انا تعبانة تعبانة في غيرواضح اكثر منك يا صالح,Hijazi
كوميدي,ايه تفضل,Najdi
اطفال,هاهاها يقول لي لا تستعجل هو انا فاهم شيء علشان استعجل والا,Hijazi
درامي,ولا بالمزرعة,Najdi
كوميدي,راح القسيم رح ربوع بلادي امن وامان يا الله من فضلك تقولي خارج المملكة ما خارج المملكة يجوز,Najdi
كوميدي,وعليكم السلام ورحمة الله وبركاته يا اهلا وسهلا,Egyptian
درامي,طب وربنا لانت مفهمني يعني ايه محامي وطن,Egyptian
درامي,انا ما اسالك عن اللي شفته قدامي توه,Najdi
درامي,حارسل لك اللوكيشن,Hijazi
كوميدي,ولا,Khaliji
كوميدي,انا انا انا ابوك حسن,Hijazi
كوميدي,نوف,Najdi
درامي,انا ما سويت شيء غلط,Khaliji
اطفال,سعيد سعيد انتبهلي شوية يا سعيد تعتقد بابا فرحان راح يقبل احنا نروح نشتغل معاه,Hijazi
كوميدي,مبروك توضيب ماحصلش,Egyptian
كوميدي,فش ايش يعني فنش,Hijazi
كوميدي,اه الله الله تغيرت الدنيا يبا تغيرت الدنيا يا الله,Khaliji
درامي,اوه ميراث ميراث ميراث انتم تعرفني وانا حي,Najdi
اطفال,صور تهبل لا يا سيدي هذه الصور اللي جبت لي اياها وتبغاها تنزل في شموع وافراح وطلعت صورة العريس كلها بدون راس,Hijazi
كوميدي,قايلكم كله شوي مشواره امرن الجيب يلا اشوف كل واحد على سيارته يلا طيب لنا مرة واكبر عادة ما في الا ذا الونيت في الحارة الحارة مليانة اركبوا في صحن اي واحد يلا يلا يلا شباب يلا,Najdi
كوميدي,خلاص,Hijazi
كوميدي,حياك الله,Najdi
كوميدي,الله اكبر بدون وصاية مني يا فيصل,Najdi
كوميدي,اقعدي في البيت احسنلك يلا تحملي الي يجيك,Najdi
كوميدي,مساه بالنور,Najdi
كوميدي,لا والله ما اخذ بالي,Egyptian
اطفال,حا,Najdi
درامي,تصورلي كفاية غلط يا نوف,Najdi
كوميدي,اتفضل,Egyptian
درامي,اهلا اهلا ولا اقول لك زعلانة منك لا تكلميني,Hijazi
اطفال,وانتي مالك انتي,Hijazi
درامي,هذا شكله رجل اعمال,Hijazi
كوميدي,ايش هذا كلام فاضي,Najdi
درامي,السجن صعب على المدان,Najdi
كوميدي,امشي,Najdi
كوميدي,يا بنتي انا جالسة اقول لابوكي يرجعك لزوجك وانت تبغى تشمتي الناس فينا,Najdi
درامي,العمر الطويل,Khaliji
درامي,لا لا تشغلي بالك,Hijazi
كوميدي,اقول يا ابو نزار وش بلا مانع جماد المبزرة ولا الحريم مع بعض ونقعد حنا يا رجال نوسع الصدر انكتب تبينها البزارين كتم تنتر ولا موافقة موافقة يا رجال نقعد نسولف ودردشنا الخير ايه ها هاهاها على فكرة يلا يلا يلا يلا يلا يلا يلا يلا يلا يلا يا نجاة يلا علومنا بسم الله قومي يلا يلا يلا يلا يلا يلا من احط ويابري,Hijazi
اطفال,طيب,Hijazi
درامي,زين اروح اجل اخلص اجراءات خروجك طيب,Khaliji
كوميدي,وانتم وش انتم,Najdi
درامي,فهد,Najdi
درامي,يما يلا ما عاد لنا قاعدة بها البيت بعد اللي حصل,Khaliji
كوميدي,والله الحمد لله,Khaliji
كوميدي,وهلما جر جر,Najdi
اطفال,ساري,Hijazi
اطفال,وصلتو لنتيجة مع المنظم والمرتب,Hijazi
كوميدي,يلا اه,Khaliji
درامي,الورع هذا الورع المهول هذا يبي يفضحنا,Khaliji
درامي,بس دخلت البيت و صياح الوالد,Hijazi
درامي,انا بروح انام تعبان ودي اروح الجامعة,Najdi
درامي,اسكت انت واياه ولا تكثرون الهرج,Khaliji
اطفال,محتاج,Hijazi
اطفال,يا اما انت من طريق وانا من طريق,Egyptian
درامي,انطقها او ما انطقها هذا ما راح يغير شيء من الوضع القائم,Khaliji
درامي,على الجحدان طال عمرك حدث ولا حرج هذا جحدني و انكرني في كل شيء لكن انا بعلمك بكل شيء من من يوم مات ابوه وكل شيء انا مسجله في ورق لاني حاسب لها اليوم حسابه,Khaliji
كوميدي,وهو يا حليم,Egyptian
اطفال,وايش كان له داعي يا بابا فرحان الغلبة هذه كلها والتعب ذا ما كنت وافقت وخلاص,Hijazi
درامي,بشر,Khaliji
كوميدي,والله لانك انت مرهف الحس يا معيض لانك تعرف انه السجن صعب جدا على المرهرفين الحساس اللي زيي يعني,Najdi
كوميدي,كملت حياتي لحالي لاني انا مقطوع من الشجرة لا عندي لا خال ولا عم,Khaliji
اطفال,ليش عبود ماسك يدك كذا نزل زينك ايه شاطر حبيبي طفش هاهاها,Najdi
اطفال,حب الارض من جوانا لا بننسى ولا يوم ينسانا حب الارض شيء جوانا لا بننسى ولا يوم ينسانا عايش فييا وعايش فيكم عايش فييا و عايش فيكم,Egyptian
درامي,انا اخذت عنوانك بالتفصيل من المدرسة سلام,Egyptian
درامي,يعني ساكت وبايع المر,Hijazi
درامي,وخر عني يا رجال على الفراش ولا على الخير كلها اللي مزعلني اني على شبيب وشايب و بسني هذا احتاجه وامشي مع واو مثل الثعبان يسوى هذا درجة,Khaliji
اطفال,سلامتك يا سيد المعلمين,Hijazi
كوميدي,موب على كيفك تحط الاسم اللي تبيه,Najdi
اطفال,بابا فرحان,Hijazi
درامي,كاشفاك وفضحاك في العائله,Egyptian
درامي,شو اللي قالته لك امس,Najdi
كوميدي,دي معلومة جديدة جدا بالنسبالي انا وانا جاي ئلت لمراتي اني جاي اكتب مسلسل بدوي,Egyptian
اطفال,صراحة ما ابغى اشم ريحة الزفر,Egyptian
درامي,ليه انا قطعة اثاث في البيت,Najdi
كوميدي,اقول يا مرة,Khaliji
كوميدي,جمع جربوع دي,Egyptian
درامي,ياربي بس كيف افهمهم,Hijazi
كوميدي,بالمرقوق,Khaliji
اطفال,اي غلطة تانية يا هبار راح تدفع تمنها حياتك,Hijazi
درامي,تحرجيني بطيبتك,Najdi
درامي,ايوه ايوه,Hijazi
كوميدي,وازيدك من الشعر بيت جزء كبير من المكافات يرحل الى صندوق الجمارك الخاص واذا تبقى شيء هذا اذا بقى شيء,Khaliji
اطفال,لانها كانت اه مواقف جديدة عليكم,Hijazi
اطفال,ومنها العبقريات ولقد قرات جزءا قليلا في هذه العبقريات الا ان اسلوبها,Najdi
اطفال,ايش الكلام الفاضي ده,Hijazi
اطفال,بسم الله الرحمن الرحيم ها انتوا مين ها انتوا اكيد حرامية ايوة حرامية انا راح اوديكم في ستين داهية انا رح اطلب الشرطة,Hijazi
اطفال,وبعدين,Hijazi
درامي,بس حضرة الضابط حنا,Najdi
اطفال,دحين بس بدات احس بخطورة عدم وجود الحب بين الناس,Hijazi
درامي,ويكره السرقة والحرام والكذب,Hijazi
كوميدي,فالقين راس العسكري,Najdi
اطفال,صح,Hijazi
درامي,هنرجع الرياض,Egyptian
كوميدي,شوف يا الصقر يا وليدي,Najdi
اطفال,العجوز والاطفال معايا احتياط,Hijazi
درامي,كيفك دكتور,Hijazi
كوميدي,لو سمحت وين محل الورود,Hijazi
كوميدي,كلام اهلها مذبح كلام اهلها قلتيلي متعلمة ومثقفة اطلعت حتى الابتدائية ماعندها هذا مو غش تجاري,Najdi
كوميدي,حجن هذا واضح حسين,Khaliji
اطفال,ويشيل عنك,Egyptian
كوميدي,مرمر زماني حبيب قلبي وينه ان شاء الله انه في القاهرة يسجلها الشريط,Khaliji
كوميدي,والله اني متملخ,Najdi
درامي,ان شاء الله بس عاد ها ما اوصيك كثر من دعواتك وبالذات اخر الليل خابرتك تقومينه,Najdi
درامي,في احد قالك انك مو بحلوه,Najdi
درامي,من يوم ما دخلت ولا قلت ولا كلمة وحدة,Khaliji
كوميدي,ايش دخل الشرطة في موضوعنا,Khaliji
كوميدي,خله خله,Najdi
اطفال,الله وبعدين هو ده مكتب حكيم الجزيرة ولا مكتب تسجيل مواليد ادخل,Hijazi
درامي,راح تقوم الدنيا ولا تقعد,Hijazi
كوميدي,يا تتهم عمك يا ما تتهمه,Khaliji
درامي,صحيح الله يمهل ولا يهمل,Najdi
كوميدي,بصراحة بقى يا حبيبي انا فرحت قوي انه هم مرشحينك كوزير,Egyptian
كوميدي,خيبت ظني فيك,Hijazi
اطفال,اسمع يا مستفز احنا بصراحة قوانا بدت تنهار واعتقد انه من حقنا حسب قانون الجزيرة اننا نقابل مستفيض حكيم الجزيرة او ام الخير كبيرة الجزيرة,Hijazi
كوميدي,فيصل يلا قوم,Najdi
اطفال,واسمه محمد بكر,Hijazi
كوميدي,يوبا انت عارف اني انا ما اقدر افرط في الكلية فارجوك على الاقل تتواجد انت في ال في ال في المشتل تساعدني شوي,Najdi
درامي,خلاص روحي انتي كلميها وشوفيها موافقة ولا لا,Hijazi
اطفال,ادت الواجب المطلوب منها بالزبط لاننا رح نكون حصناهم ضد اي خطر ممكن يتعرضولو في المستقبل و بعدين يعني متى الواحد رح ياخذ فرصتو كله من سيدة حكاية ليش بتكرهني ماني عارف,Hijazi
كوميدي,ومنكم,Egyptian
كوميدي,المداخلة مع الاستاذ دنحي تفضل,Najdi
درامي,اسمع يا استاذ انا من الصباح سايبك تتكلم على كيفك وساكت احترام للوالدة ولاختي,Hijazi
درامي,استغفر الله استغفر الله,Hijazi
كوميدي,ما شاء الله انت هنية يا ميمتي,Khaliji
درامي,صحتك اليوم الحمد لله كثير احسن,Khaliji
كوميدي,يلا قومي قومي قومي طب الورقة ولا متى لا خلي الورقة عندك وسجلي عدل لا تطلع وزيري ترى اي يبون شغل مهندسين عدل يلا عاد,Khaliji
اطفال,بالصورة اللي في يدي دي,Hijazi
كوميدي,انا الي جابني هنا,Egyptian
اطفال,ااه ايوه ااه انا بصراحة بس ماني شايف اني رايح استفيد شي من التعب هذا اللي اتعبه في السفرة هادي,Hijazi
درامي,طير,Najdi
كوميدي,دهيم,Najdi
كوميدي,يا حليله يا حليله الله يصلحه ان شاء الله حياكم الله تفضلوا يا ولد,Najdi
اطفال,يعني ايه انسرقت وانتو كنتو فين يا استاذة كنتو طبعا سهرانين في غرفة عبد الكريم وسايبين شغلكم يرضيك الاهمال ده يا جدو سرحان,Khaliji
اطفال,في الحقيقة يا ام الخير واضح يعني انك شايفة شغلك كويس,Hijazi
كوميدي,يا رب يا رب يا كريم انك تكفي ولدي بشير من كل شر يا رب,Khaliji
اطفال,مصر الطبيب,Najdi
اطفال,ساعتها يا ذكي بابا فرحان راح يتكلم علينا كلنا,Hijazi
اطفال,تقول للحشرة,Hijazi
كوميدي,اقول مشكور وما قصرت,Najdi
اطفال,اول ما تقرب وتنور مرتين,Hijazi
كوميدي,كيف عرفت,Najdi
كوميدي,انا اؤمن ان الاصوات الجميلة ترى وراثة,Khaliji
كوميدي,ربع كل اللي انت تبي تروح لهم,Najdi
كوميدي,لا النقدي اضمن انا بعرف اكثر منكم يسموني خلف اللي ما يعرف الدين ولا السلف لا تبض جبدي,Najdi
كوميدي,بسم الله اش تبي وخر عني حدا يصحى من النوم شذي اش حقه لا حول ولا قوة الا بالله,Khaliji
درامي,جوز بنتك هذا,Hijazi
كوميدي,والله يا جزاع انت تعرف ما الله رزقني بعيال,Najdi
اطفال,رائد الفضاء,Hijazi
درامي,انا اثق فيك,Najdi
اطفال,ادخل,Hijazi
كوميدي,اما بالنسبة للتحصيل العلمي فهذا راجع للامكانيات صحيح شو بشاي امكانياته على قده,Najdi
كوميدي,ممكن نشرب قهوة مع بعض,Egyptian
كوميدي,نعم,Najdi
كوميدي,اه يا القهر اه,Khaliji
كوميدي,المشكلة انك ام فيصل اخ منك,Hijazi
درامي,الله يسلمك ان شاء الله,Najdi
اطفال,امم ما يفارقه,Khaliji
كوميدي,نسميها سحر,Najdi
درامي,قل لي,Khaliji
اطفال,وحدة كيف ده مصنع لتحلية المياه لازم يكون في مكينتين عشان حيشتغل اربعة وعشرين ساعة لانهم اثنعشر ساعة مكينة تريح اثنعشر ساعة مكينة تشتغل دا بيخلي عمر المكينة يطول,Hijazi
درامي,جدي مومحتاج لشيء,Hijazi
اطفال,حكاية اليوم يا بابا فرحان اسمها بايع الاحذية,Hijazi
درامي,خلت بحياتي مجال للتفكير,Najdi
كوميدي,هو العمل في الصحافة اسهل من العمل في الصناعية,Hijazi
اطفال,الناس الله يسامحهم حطوني داخل هذا القفص وسكروا علي علشان,Hijazi
درامي,طيب انا هروح معاه البيت,Egyptian
كوميدي,يا محمد جاء غيرواضح الاحقوا بسرعة,Hijazi
درامي,حولا ولا قوة الا بالله,Hijazi
اطفال,تشف داون اوف تايتنز صح,Najdi
درامي,احيان ما تدري وش ضرك لكنك ضرير,Khaliji
درامي,الا ما فيش حتى التلفزيون زي كاننا قاعدين في صحرة,Egyptian
درامي,انت متى قادر تصدق,Hijazi
كوميدي,يعني انا الرجاجيل ها انا الرجاجيل غوغو ظنك هاهاها اقول اتركي الظن داحين روحي شوشو وعط عط عطي العطر للعمة بسرعة بسرعة بسرعة,Khaliji
درامي,انا صالح ولد اخو الشيخ عبد الرحمن,Khaliji
كوميدي,تكفى يا مرمر زماني اكون لك من الشاكرين وفضل ما انساه طول عمري,Khaliji
كوميدي,ابو صالح يا هلا والله ومرحبا,Najdi
اطفال,اشبه صوتك كذه يا جدو كذه مره عجوز كذه ها,Hijazi
درامي,واقع فى ورطة,Egyptian
درامي,انا كان ودي اسالك ذا السؤال من زمان,Khaliji
كوميدي,ايش بك ضاربة بوز,Hijazi
اطفال,ابويا ابويا,Hijazi
كوميدي,هاهاها و شو هو انت تعرفني حتى تخطبني,Najdi
اطفال,حظك كده مالك اقارب ها,Hijazi
كوميدي,القرارات الارتجالية مش حتكون موجودة مرة ثانية البلد الان بحاجة الى دماء جديدة بحاجة الى دماء شابة خبرات وما خبرات هذه موضة وانتهت,Najdi
درامي,مفروض,Najdi
اطفال,عبد الكريم من يوم ما دخل المستشفى مافي ولا احد من عياله زاره حتى فلوس المستشفى جيد وسرحان كانوا بيرسلوها فشيك كل فترة وفترة,Hijazi
كوميدي,قول عنه في شنو ما تقول لي مسؤول عنه في فرض رايك بس,Khaliji
درامي,وانا من الصبح بقول الدكتورة ذي بتكلم مين فاكرها بتكلم نفسها هاهاها,Egyptian
كوميدي,ايش ا قومك ا رايح جاي مثل امخبل,Najdi
درامي,احنا وجه فضايح,Najdi
اطفال,لا اله الا الله,Hijazi
كوميدي,ونقول بها,Khaliji
كوميدي,غيرواضح يلا بنات انا طالعة موعدي ما راح اطول باي,Najdi
اطفال,صح اى اسمع يا ولدي بصراحة احنا ما كنا نقدر نسوي اي شيء ولا نقدر نمنعه ثعبان ضخم,Hijazi
درامي,ابشر يا خالد,Najdi
اطفال,والي يحلها,Hijazi
كوميدي,اسمعي الكلام,Najdi
كوميدي,ثعبان صديق هذا هذا نفر هذا سعودي اي هذا فين يروح فين يجي في صديق كثير ما في صديق كثير ايش,Najdi
كوميدي,بس ميه ريال ميه ريال تكفى بتغدى وبتعشى يرحم والديك طلبتك مية بس والله قل تم قل تم تم الله الله,Najdi
اطفال,ايه ياد ايه في ايه,Egyptian
اطفال,يا رب ما يجي شكله يخوف بصراحة,Hijazi
كوميدي,ستين الف ريال في الشهر,Khaliji
درامي,لا تقول لخالد ولا حاجة,Hijazi
كوميدي,وانا انام تحت,Egyptian
اطفال,علشان الحق اتصرف لو عمل اي حاجة,Hijazi
كوميدي,اقولك,Egyptian
كوميدي,ايش هو هذا الموضوع,Hijazi
اطفال,انا بس اخلص تصوير جلسة تصوير بس اخلصها راح اجيك خلك شاطر,Najdi
كوميدي,وهذا مطيح بالهند ولا بداري شي انا الوحيد اللحية اللي عندي كلها انتهت لحية اللي في مخي ما بقى منها شي شو اسوي,Najdi
درامي,ما يصل لهم شيء,Khaliji
كوميدي,اما القناعة,Najdi
درامي,طلعني غرفتي خليني ارتاح,Najdi
اطفال,راح ينال وطاة عقابي,Hijazi
اطفال,يعني واضح انه في كذا خلل في البرمجة,Najdi
درامي,مهما كانت صدمات الشغل,Najdi
كوميدي,اي خدمة يا بيه,Egyptian
اطفال,ليش ما حد منعه,Hijazi
كوميدي,هذا اخوي صقر ولا,Khaliji
اطفال,اولادي عيد وسعيد,Hijazi
درامي,سلاح لك وسلطان,Egyptian
اطفال,حسين يا ولدي يا ولدي اصحى الظهر حيبدا هم اصحى يا ولدي,Egyptian
اطفال,لا لا لا انا جاي عشان موضوع ثاني,Khaliji
درامي,ياليت ابوي كان حي كان خلاني ادرس واحقق طموحي لكن وش نقول هذا قدرة الله,Najdi
اطفال,جدي مات تحت المنجم الي هدو المنظم الكبير عيب دحين انا عرفت ليه كوكب الشر ارسلني انا بالذات,Hijazi
درامي,بلاش كده يا دكتور عشان تتاسفلي ولا عشان احسسك بالذنب يا سيدي,Egyptian
درامي,الحمد لله انك توك صاحي من النوم وتعرف اني انا عمتك,Khaliji
كوميدي,ولدي ما ابغى يعيش بالفقر,Khaliji
درامي,يا ليتني ما سمعت كلامك يا مصطفى,Najdi
كوميدي,لا لا قولي له خمس دقائق يصلي الضحى يصلي الضحى وتعالي بعدين بعدين بعدين بعد صلاة الضحى يدخل عليا وصلت الحكومة وصلت وصلت وصلت مرسلين ابو سليمان احد اوثق رجال الحكومة هذا الرجل يعشق النساء بشكل انا اذا قابلت الرجال ما اقدر اقول له لا بتورط في الوزارة وانتم معي وربي لا احطكم وكذا تاكلون هواء اقول ا الوقوف معاك فرض عين ما فيها كلام ولا يهون زميلي واخي مناحي تسلم يا حبيب اخوه الله يطول عمرك والله,Najdi
كوميدي,حياك الله حسن,Najdi
اطفال,طيور,Hijazi
درامي,شو تفهمني يا عبد الرحمن,Hijazi
درامي,انا خليني اروح لاخوك الغبي ذه عشان عنده مريض ها لما تتغيري ان شا الله اشوفك ها,Hijazi
درامي,موضوع الدكتور سلطان,Egyptian
درامي,تدرين يا دكتورة ابوي من كثر ما يخاف علي ما يخليني اروح الجامعة,Najdi
كوميدي,هلا,Najdi
كوميدي,يا بنت الحلال اتركيك منهم يا تفيدة اتركيك منهم,Najdi
درامي,رح تشخص,Najdi
اطفال,قصر صوتك ذبحتني ترى في اخر الفريج سمعوا ما يسمع الكلام انا ما قلت لك بطل اكل بالمرة انا قاعد اقول لك بطل اكل بالطريقة هذي يا درويش,Khaliji
درامي,يا ريتك سمعت الدعوات اللي دعتها المسكينة وهي بتبكي,Hijazi
درامي,هب البراد وزانت النفسية الجو روعة والمشاعر حية,Khaliji
كوميدي,وي وي,Khaliji
درامي,وش الشي اللي هم بيقولونه,Najdi
اطفال,افتكرت اه اه خليه يدخل خليه يدخل بس اسمع,Hijazi
درامي,عجيب,Khaliji
كوميدي,وقف السيارة,Najdi
درامي,صدقيني قربنا نكشف وكلهن سوالفك,Khaliji
درامي,يعني تساعدهم,Hijazi
درامي,واعتقد ان قرار التامين واضح وصريح ما فيه اي لبس,Najdi
اطفال,اوه غيرواضح زعلانه,Hijazi
كوميدي,حنا الان دورنا مبنى مفخم هاه وانا قلت لهم قلت شوفوا لازم تكون صالة الاجتماعات هذه هاه مية متر في مية متر عشان ناخذ راحتنا قلت خلوها كلها زرقة لاني احب اللون الازرق,Khaliji
درامي,مش معناته عمي سالم راح و عمي سالم جا,Najdi
كوميدي,تفضل,Khaliji
كوميدي,والام والابو اردى منه اسقط في يدها المسيكينة في انتي يا الخدامة اسقط في يدها واذا قالولك ان كيدهن عظيم,Najdi
كوميدي,اوه شيء جديد اخيرا استقريت على اسم,Hijazi
كوميدي,طال عمرك سيارات فخمة طال,Najdi
كوميدي,ولا كلمة ولا حركة يا فيصل المطمطة,Egyptian
كوميدي,للتفاوت بين القيم الاصيلة والافكار الحديثة الدخيلة,Najdi
درامي,يعني مرض الايدز,Khaliji
كوميدي,تبعك هو,Hijazi
درامي,يا بعد عمري يا طلال,Najdi
درامي,غير واضح اللي انت فيها هذي تسميها شغل,Hijazi
كوميدي,ايه اللي فيه اخوك خليفة مو بمرض ذي,Khaliji
اطفال,وليش اقوله قبوله ما تدري يقولون دحين,Khaliji
درامي,حشاك يومه من التقصير,Hijazi
كوميدي,تعالي اقولك تعالي تعالي انتي يام جعفر تعالي احنا من كم سنة نعرف بعض من كم سنة واحنا جيران كم سنة,Hijazi
درامي,اتفقت انا واختي نورا نروحلهم ونعتذر منهم,Hijazi
كوميدي,وين في ها,Najdi
درامي,عشان يا حبيبي الحرمة ما في يدها حاجة لو كان كل واحد اب حط بنتوعلى قلبو في بيتو وكان خلفت له البنت والولد,Hijazi
